userId,rank,movieId,title,score
9,3,53024,Jonestown: The Life and Death of Peoples Temple (2006),0.0
9,4,7444,13 Going on 30 (2004),0.0
9,5,136355,Big Top Scooby-Doo! (2012),0.0
9,6,3834,Bronco Billy (1980),0.0
9,7,26003,Night and Fog (Nuit et brouillard) (1955),0.0
9,8,185435,"Game Over, Man! (2018)",0.0
9,9,52328,Sunshine (2007),0.0
9,10,1643,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",0.0
10,1,2095,"Shaggy D.A., The (1976)",0.0
10,2,129229,Northmen - A Viking Saga (2014),0.0
10,3,7248,"Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)",0.0
10,4,147376,Doctor Who: A Christmas Carol (2010),0.0
10,5,1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",0.0
10,6,68159,State of Play (2009),0.0
10,7,59731,"Bigger, Stronger, Faster* (2008)",0.0
10,8,65882,"Uninvited, The (2009)",0.0
10,9,6592,"Secret Lives of Dentists, The (2002)",0.0
10,10,83480,Season of the Witch (2011),0.0
11,1,4591,Erik the Viking (1989),0.0
11,2,57536,Strange Wilderness (2008),0.0
11,3,1177,Enchanted April (1992),0.0
11,4,1582,Wild America (1997),0.0
11,5,44225,Aquamarine (2006),0.0
11,6,34143,Dark Water (2005),0.0
11,7,160980,Sully (2016),0.0
11,8,162602,The Girl on the Train (2016),0.0
11,9,4526,My Stepmother Is an Alien (1988),0.0
11,10,4877,Better Than Sex (2000),0.0
12,1,86295,Scream 4 (2011),0.0
12,2,3566,"Big Kahuna, The (2000)",0.0
12,3,67087,"I Love You, Man (2009)",0.0
12,4,72356,Partly Cloudy (2009),0.0
12,5,1021,Angels in the Outfield (1994),0.0
12,6,1246,Dead Poets Society (1989),0.0
12,7,6434,"Objective, Burma! (1945)",0.0
12,8,89492,Moneyball (2011),0.0
12,9,3421,Animal House (1978),0.0
12,10,6386,Nevada Smith (1966),0.0
13,1,7171,Aileen: Life and Death of a Serial Killer (2003),0.0
13,2,68269,"Young Victoria, The (2009)",0.0
13,3,52722,Spider-Man 3 (2007),0.0
13,4,6706,Taking Sides (2001),0.0
13,5,6148,White Dog (1982),0.0
13,6,8874,Shaun of the Dead (2004),0.0
13,7,223,Clerks (1994),0.0
13,8,2320,Apt Pupil (1998),0.0
13,9,79684,Paper Man (2009),0.0
13,10,108090,Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),0.0
14,1,5809,Femme Fatale (2002),0.0
14,2,52042,Black Book (Zwartboek) (2006),0.0
14,3,500,Mrs. Doubtfire (1993),0.0
14,4,2382,Police Academy 5: Assignment: Miami Beach (1988),0.0
14,5,4384,Lumumba (2000),0.0
14,6,1970,"Nightmare on Elm Street 3: Dream Warriors, A (1987)",0.0
14,7,2485,She's All That (1999),0.0
14,8,7212,I Was a Male War Bride (1949),0.0
14,9,55854,"Fugitive, The (1947)",0.0
14,10,88954,"Very Harold & Kumar 3D Christmas, A (2011)",0.0
15,1,30994,Little Miss Marker (1980),0.0
15,2,2015,"Absent-Minded Professor, The (1961)",0.0
15,3,262,"Little Princess, A (1995)",0.0
15,4,7024,"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)",0.0
15,5,34528,Junebug (2005),0.0
15,6,4614,Kickboxer (1989),0.0
15,7,5838,Madame Bovary (1991),0.0
15,8,6380,Capturing the Friedmans (2003),0.0
15,9,160646,Goat (2016),0.0
15,10,3859,"Eyes of Tammy Faye, The (2000)",0.0
16,1,26913,Street Fighter II: The Animated Movie (Sutorîto Faitâ II gekijô-ban) (1994),0.0
16,2,6947,Master and Commander: The Far Side of the World (2003),0.0
16,3,8908,Ladder 49 (2004),0.0
16,4,4432,Sweet Smell of Success (1957),0.0
16,5,3538,East is East (1999),0.0
16,6,146730,Lost in the Sun (2015),0.0
16,7,2148,House (1986),0.0
16,8,8813,We Don't Live Here Anymore (2004),0.0
16,9,158813,Alice Through the Looking Glass (2016),0.0
16,10,94777,Men in Black III (M.III.B.) (M.I.B.³) (2012),0.0
17,1,3724,Coming Home (1978),0.0
17,2,4190,Elmer Gantry (1960),0.0
17,3,8813,We Don't Live Here Anymore (2004),0.0
17,4,1923,There's Something About Mary (1998),0.0
17,5,25865,"Letter, The (1940)",0.0
17,6,53519,Death Proof (2007),0.0
17,7,55112,Shanghai Kiss (2007),0.0
17,8,1596,Career Girls (1997),0.0
17,9,1427,Turbulence (1997),0.0
17,10,3997,Dungeons & Dragons (2000),0.0
18,1,3046,"Incredibly True Adventure of Two Girls in Love, The (1995)",0.0
18,2,136297,Mortal Kombat: The Journey Begins (1995),0.0
18,3,4092,Cherry 2000 (1987),0.0
18,4,3125,"End of the Affair, The (1999)",0.0
18,5,1965,Repo Man (1984),0.0
18,6,170813,Baywatch (2017),0.0
18,7,8833,Vanity Fair (2004),0.0
18,8,9018,Control Room (2004),0.0
18,9,440,Dave (1993),0.0
18,10,4987,Spacehunter: Adventures in the Forbidden Zone (1983),0.0
19,1,26527,What Have I Done to Deserve This? (¿Qué he hecho yo para merecer esto!!) (1984),0.0
19,2,8919,P.S. (2004),0.0
19,3,631,All Dogs Go to Heaven 2 (1996),0.0
19,4,148482,Truth (2015),0.0
19,5,181139,Lynne Koplitz: Hormonal Beast (2017),0.0
19,6,48520,Employee of the Month (2006),0.0
19,7,2894,Romance (1999),0.0
19,8,2648,Frankenstein (1931),0.0
19,9,4031,All the Pretty Horses (2000),0.0
19,10,134170,Kung Fury (2015),0.0
20,1,8369,Mindhunters (2004),0.0
20,2,7015,Only the Lonely (1991),0.0
20,3,2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",0.0
20,4,254,Jefferson in Paris (1995),0.0
20,5,86028,Henry's Crime (2010),0.0
20,6,122920,Captain America: Civil War (2016),0.0
20,7,4573,Blaze (1989),0.0
20,8,126482,Strange Magic (2015),0.0
20,9,1516,Children of the Revolution (1996),0.0
20,10,4254,Crocodile Dundee in Los Angeles (2001),0.0
21,1,123310,Tornado! (1996),0.0
21,2,2016,"Apple Dumpling Gang Rides Again, The (1979)",0.0
21,3,3106,Come See the Paradise (1990),0.0
21,4,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0.0
21,5,1593,Picture Perfect (1997),0.0
21,6,869,Kansas City (1996),0.0
21,7,351,"Corrina, Corrina (1994)",0.0
21,8,154358,The Barkley Marathons: The Race That Eats Its Young (2015),0.0
21,9,147002,Eros (2004),0.0
21,10,98633,My Lucky Stars (Fuk sing go jiu) (1985),0.0
22,1,7305,Black Widow (1987),0.0
22,2,168266,T2: Trainspotting (2017),0.0
22,3,4187,Lilies of the Field (1963),0.0
22,4,86487,Mildred Pierce (2011),0.0
22,5,7264,An Amazing Couple (2002),0.0
22,6,144734,Freaks of Nature (2015),0.0
22,7,6143,Trail of the Pink Panther (1982),0.0
22,8,1912,Out of Sight (1998),0.0
22,9,188751,Mamma Mia: Here We Go Again! (2018),0.0
22,10,4031,All the Pretty Horses (2000),0.0
23,1,141513,Fort Tilden (2014),0.0
23,2,60647,Transsiberian (2008),0.0
23,3,111680,At Middleton (2013),0.0
23,4,7624,School Ties (1992),0.0
23,5,2648,Frankenstein (1931),0.0
23,6,82641,"One-Armed Swordsman, The (Dubei dao) (1967)",0.0
23,7,27820,"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003)",0.0
23,8,93831,American Reunion (American Pie 4) (2012),0.0
23,9,5882,Treasure Planet (2002),0.0
23,10,3937,Runaway (1984),0.0
24,1,168846,Neal Brennan: 3 Mics (2017),0.0
24,2,52458,Disturbia (2007),0.0
24,3,1036,Die Hard (1988),0.0
24,4,141408,Scouts Guide to the Zombie Apocalypse (2015),0.0
24,5,7541,100 Girls (2000),0.0
24,6,1747,Wag the Dog (1997),0.0
24,7,7092,Anna Karenina (1935),0.0
24,8,5458,Like Mike (2002),0.0
24,9,3947,Get Carter (1971),0.0
24,10,4121,Innerspace (1987),0.0
25,1,1965,Repo Man (1984),0.0
25,2,103042,Man of Steel (2013),0.0
25,3,1344,Cape Fear (1962),0.0
25,4,5820,Standing in the Shadows of Motown (2002),0.0
25,5,71,Fair Game (1995),0.0
25,6,68959,Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono) (2005),0.0
25,7,75803,Our Family Wedding (2010),0.0
25,8,165343,The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016),0.0
25,9,1867,Tarzan and the Lost City (1998),0.0
25,10,44555,"Lives of Others, The (Das leben der Anderen) (2006)",0.0
26,1,88094,Upside Down: The Creation Records Story (2010),0.0
26,2,104457,You're Next (2011),0.0
26,3,6696,Bollywood/Hollywood (2002),0.0
26,4,99846,Everything or Nothing: The Untold Story of 007 (2012),0.0
26,5,3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),0.0
26,6,91485,"Expendables 2, The (2012)",0.0
26,7,3765,"Hot Spot, The (1990)",0.0
26,8,1399,Marvin's Room (1996),0.0
26,9,52668,In the Land of Women (2007),0.0
26,10,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),0.0
27,1,3909,Woman on Top (2000),0.0
27,2,50792,Catch and Release (2006),0.0
27,3,112580,"Angriest Man in Brooklyn, The (2014)",0.0
27,4,5155,"Big Bird Cage, The (1972)",0.0
27,5,6143,Trail of the Pink Panther (1982),0.0
27,6,1519,Broken English (1996),0.0
27,7,5856,"Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)",0.0
27,8,163134,Your Name. (2016),0.0
27,9,140928,Joy (2015),0.0
27,10,1609,187 (One Eight Seven) (1997),0.0
28,1,4849,My First Mister (2001),0.0
28,2,6996,Highlander II: The Quickening (1991),0.0
28,3,161634,Don't Breathe (2016),0.0
28,4,120635,Taken 3 (2015),0.0
28,5,889,1-900 (06) (1994),0.0
28,6,98799,"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A (2012)",0.0
28,7,32387,"Sword of Doom, The (Dai-bosatsu tôge) (1966)",0.0
28,8,2557,I Stand Alone (Seul contre tous) (1998),0.0
28,9,1396,Sneakers (1992),0.0
28,10,2006,"Mask of Zorro, The (1998)",0.0
29,1,242,Farinelli: il castrato (1994),0.0
29,2,64285,Wallace and Gromit in 'A Matter of Loaf and Death' (2008),0.0
29,3,2054,"Honey, I Shrunk the Kids (1989)",0.0
29,4,6579,"One, Two, Three (1961)",0.0
29,5,1503,8 Heads in a Duffel Bag (1997),0.0
29,6,27329,Paradise Lost 2: Revelations (2000),0.0
29,7,2078,"Jungle Book, The (1967)",0.0
29,8,8695,"Bachelor and the Bobby-Soxer, The (1947)",0.0
29,9,640,Diabolique (1996),0.0
29,10,3740,Big Trouble in Little China (1986),0.0
30,1,175303,It (2017),0.0
30,2,4156,Company Man (2000),0.0
30,3,106072,Thor: The Dark World (2013),0.0
30,4,8529,"Terminal, The (2004)",0.0
30,5,71838,Law Abiding Citizen (2009),0.0
30,6,90376,We Need to Talk About Kevin (2011),0.0
30,7,114662,American Sniper (2014),0.0
30,8,99106,"Guilt Trip, The (2012)",0.0
30,9,7361,Eternal Sunshine of the Spotless Mind (2004),0.0
30,10,5375,"Harvey Girls, The (1946)",0.0
31,1,562,Welcome to the Dollhouse (1995),0.0
31,2,5820,Standing in the Shadows of Motown (2002),0.0
31,3,140541,The Electric Hotel (1908),0.0
31,4,5048,Snow Dogs (2002),0.0
31,5,83,Once Upon a Time... When We Were Colored (1995),0.0
31,6,3720,Sunshine (1999),0.0
31,7,124851,Delirium (2014),0.0
31,8,1336,Body Parts (1991),0.0
31,9,8183,Educating Rita (1983),0.0
31,10,153236,Genius Party (2007),0.0
32,1,3201,Five Easy Pieces (1970),0.0
32,2,92509,"Vow, The (2012)",0.0
32,3,27722,Last Life in the Universe (Ruang rak noi nid mahasan) (2003),0.0
32,4,130083,Kidnapping Mr. Heineken (2015),0.0
32,5,172589,Winter in Prostokvashino (1984),0.0
32,6,103980,Blue Jasmine (2013),0.0
32,7,87028,"Roommate, The (2011)",0.0
32,8,44193,She's the Man (2006),0.0
32,9,4299,"Knight's Tale, A (2001)",0.0
32,10,93114,Ro.Go.Pa.G. (1963),0.0
33,1,3410,Soft Fruit (1999),0.0
33,2,59026,99 francs (2007),0.0
33,3,5398,Requiem for a Heavyweight (1962),0.0
33,4,88932,Final Destination 5 (2011),0.0
33,5,101973,Disconnect (2012),0.0
33,6,3633,On Her Majesty's Secret Service (1969),0.0
33,7,47774,"Icicle Thief, The (Ladri di saponette) (1989)",0.0
33,8,6816,Three O'Clock High (1987),0.0
33,9,109313,Chouchou (2003),0.0
33,10,165551,Lion (2016),0.0
34,1,72624,Garage (2007),0.0
34,2,4932,Dressed to Kill (1980),0.0
34,3,3055,Felicia's Journey (1999),0.0
34,4,7455,"Mudge Boy, The (2003)",0.0
34,5,5131,How to Kill Your Neighbor's Dog (2000),0.0
34,6,6192,Open Hearts (Elsker dig for evigt) (2002),0.0
34,7,4323,"Horse Soldiers, The (1959)",0.0
34,8,58376,Zeitgeist: The Movie (2007),0.0
34,9,2387,Very Bad Things (1998),0.0
34,10,4916,Midway (1976),0.0
35,1,2641,Superman II (1980),0.0
35,2,8998,That's Entertainment (1974),0.0
35,3,7107,Foul Play (1978),0.0
35,4,8463,Johnny Belinda (1948),0.0
35,5,105197,Nebraska (2013),0.0
35,6,8526,Around the World in 80 Days (2004),0.0
35,7,161044,Webmaster (1998),0.0
35,8,6644,"Green Ray, The (Rayon vert, Le) (1986)",0.0
35,9,49651,Rocky Balboa (2006),0.0
35,10,93297,Act of Valor (2012),0.0
36,1,1747,Wag the Dog (1997),0.0
36,2,7387,Dawn of the Dead (1978),0.0
36,3,109850,Need for Speed (2014),0.0
36,4,41617,Havoc (2005),0.0
36,5,37729,Corpse Bride (2005),0.0
36,6,1233,"Boot, Das (Boat, The) (1981)",0.0
36,7,136654,The Face of an Angel (2015),0.0
36,8,60289,Kit Kittredge: An American Girl (2008),0.0
36,9,157407,I Am Wrath (2016),0.0
36,10,45666,Nacho Libre (2006),0.0
37,1,31553,Double Dragon (1994),0.0
37,2,186587,Rampage (2018),0.0
37,3,92198,Seeking Justice (2011),0.0
37,4,142509,Hardcore Henry (2015),0.0
37,5,91094,"Muppets, The (2011)",0.0
37,6,152037,Grease Live (2016),0.0
37,7,6345,"Chorus Line, A (1985)",0.0
37,8,87306,Super 8 (2011),0.0
37,9,5601,"Yearling, The (1946)",0.0
37,10,2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),0.0
38,1,70708,Tetro (2009),0.0
38,2,26999,"Lion King II: Simba's Pride, The (1998)",0.0
38,3,2323,"Cruise, The (1998)",0.0
38,4,6981,"Ordet (Word, The) (1955)",0.0
38,5,1792,U.S. Marshals (1998),0.0
38,6,26587,"Decalogue, The (Dekalog) (1989)",0.0
38,7,93,Vampire in Brooklyn (1995),0.0
38,8,6800,Cobra (1986),0.0
38,9,8190,"Americanization of Emily, The (1964)",0.0
38,10,56379,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders (2006)",0.0
39,1,104272,Blackfish (2013),0.0
39,2,1167,Dear God (1996),0.0
39,3,1573,Face/Off (1997),0.0
39,4,89039,Another Earth (2011),0.0
39,5,51884,"Namesake, The (2006)",0.0
39,6,71156,"Men Who Stare at Goats, The (2009)",0.0
39,7,69251,Special (2006),0.0
39,8,1605,Excess Baggage (1997),0.0
39,9,7158,House of Sand and Fog (2003),0.0
39,10,5947,Evelyn (2002),0.0
40,1,8535,De-Lovely (2004),0.0
40,2,4957,Sudden Impact (1983),0.0
40,3,2164,Surf Nazis Must Die (1987),0.0
40,4,162478,Masterminds (2016),0.0
40,5,4214,Revenge of the Nerds (1984),0.0
40,6,3632,Monsieur Verdoux (1947),0.0
40,7,91470,Violet & Daisy (2011),0.0
40,8,4193,"Fantasticks, The (1995)",0.0
40,9,81229,Red (2010),0.0
40,10,45517,Cars (2006),0.0
41,1,146309,The Boy and the Beast (2015),0.0
41,2,155743,My Big Fat Greek Wedding 2 (2016),0.0
41,3,6978,Slacker (1991),0.0
41,4,8969,Bridget Jones: The Edge of Reason (2004),0.0
41,5,4804,Pocketful of Miracles (1961),0.0
41,6,5062,Seconds (1966),0.0
41,7,86835,Priest (2011),0.0
41,8,2316,Practical Magic (1998),0.0
41,9,1887,Almost Heroes (1998),0.0
41,10,34523,The Chumscrubber (2005),0.0
42,1,426,Body Snatchers (1993),0.0
42,2,61073,Hell Ride (2008),0.0
42,3,33669,"Sisterhood of the Traveling Pants, The (2005)",0.0
42,4,117851,Penguins of Madagascar (2014),0.0
42,5,49649,Eragon (2006),0.0
42,6,1807,"Cool, Dry Place, A (1998)",0.0
42,7,7317,EuroTrip (2004),0.0
42,8,1827,"Big One, The (1997)",0.0
42,9,26401,Last Hurrah for Chivalry (Hao xia) (1979),0.0
42,10,108078,Chinese Puzzle (Casse-tête chinois) (2013),0.0
43,1,136666,Search Party (2014),0.0
43,2,87660,Too Big to Fail (2011),0.0
43,3,169,Free Willy 2: The Adventure Home (1995),0.0
43,4,1565,Head Above Water (1996),0.0
43,5,6386,Nevada Smith (1966),0.0
43,6,7981,Infernal Affairs (Mou gaan dou) (2002),0.0
43,7,73211,Pontypool (2008),0.0
43,8,4233,Tomcats (2001),0.0
43,9,8937,Friday Night Lights (2004),0.0
43,10,4035,"Claim, The (2000)",0.0
44,1,285,Beyond Bedlam (1993),0.0
44,2,1873,"Misérables, Les (1998)",0.0
44,3,53318,Cashback (2006),0.0
44,4,56715,Wristcutters: A Love Story (2006),0.0
44,5,190209,Jeff Ross Roasts the Border (2017),0.0
44,6,49274,Happy Feet (2006),0.0
44,7,53280,"Breed, The (2006)",0.0
44,8,1388,Jaws 2 (1978),0.0
44,9,41997,Munich (2005),0.0
44,10,1213,Goodfellas (1990),0.0
45,1,72,Kicking and Screaming (1995),0.0
45,2,191,"Scarlet Letter, The (1995)",0.0
45,3,73,"Misérables, Les (1995)",0.0
45,4,134859,The Wolfpack (2015),0.0
45,5,449,Fear of a Black Hat (1994),0.0
45,6,54116,First Snow (2006),0.0
45,7,4052,Antitrust (2001),0.0
45,8,134528,Aloha (2015),0.0
45,9,95796,Anaconda: The Offspring (2008),0.0
45,10,2800,Little Nemo: Adventures in Slumberland (1992),0.0
46,1,3204,"Boys from Brazil, The (1978)",0.0
46,2,92420,Chronicle (2012),0.0
46,3,84637,Gnomeo & Juliet (2011),0.0
46,4,166291,A Silent Voice (2016),0.0
46,5,736,Twister (1996),0.0
46,6,105468,Cloudy with a Chance of Meatballs 2 (2013),0.0
46,7,54190,Across the Universe (2007),0.0
46,8,104760,Getaway (2013),0.0
46,9,1604,Money Talks (1997),0.0
46,10,141544,Turbo Kid (2015),0.0
47,1,74095,Wicked City (Yôjû toshi) (1987),0.0
47,2,8861,Resident Evil: Apocalypse (2004),0.0
47,3,8604,Taxi (1998),0.0
47,4,43419,Bandidas (2006),0.0
47,5,2051,Herbie Goes to Monte Carlo (1977),0.0
47,6,105954,All Is Lost (2013),0.0
47,7,7349,Broken Wings (Knafayim Shvurot) (2002),0.0
47,8,60141,St. Trinian's (2007),0.0
47,9,1112,Palookaville (1996),0.0
47,10,6395,"Crazies, The (a.k.a. Code Name: Trixie) (1973)",0.0
48,1,2862,Caligula (1979),0.0
48,2,7587,"Samouraï, Le (Godson, The) (1967)",0.0
48,3,37853,Into the Blue (2005),0.0
48,4,172589,Winter in Prostokvashino (1984),0.0
48,5,46,How to Make an American Quilt (1995),0.0
48,6,76093,How to Train Your Dragon (2010),0.0
48,7,34536,The Great Raid (2005),0.0
48,8,904,Rear Window (1954),0.0
48,9,626,"Thin Line Between Love and Hate, A (1996)",0.0
48,10,476,"Inkwell, The (1994)",0.0
49,1,5047,Kung Pow: Enter the Fist (2002),0.0
49,2,31123,Ruby & Quentin (Tais-toi!) (2003),0.0
49,3,87785,Takers (2010),0.0
49,4,26792,Sidekicks (1992),0.0
49,5,45175,Kinky Boots (2005),0.0
49,6,6595,S.W.A.T. (2003),0.0
49,7,3307,City Lights (1931),0.0
49,8,113604,If I Stay (2014),0.0
49,9,172587,Vacations in Prostokvashino (1980),0.0
49,10,8743,Biggles (1986),0.0
50,1,3357,East-West (Est-ouest) (1999),0.0
50,2,6587,Gigli (2003),0.0
50,3,47725,Angel-A (2005),0.0
50,4,2092,"Return of Jafar, The (1994)",0.0
50,5,58156,Semi-Pro (2008),0.0
50,6,1985,Halloween 4: The Return of Michael Myers (1988),0.0
50,7,60030,Spiral (2007),0.0
50,8,6249,Boat Trip (2003),0.0
50,9,7369,Scooby-Doo 2: Monsters Unleashed (2004),0.0
50,10,147326,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),0.0
51,1,168608,Mudbound (2017),0.0
51,2,48032,"Tiger and the Snow, The (La tigre e la neve) (2005)",0.0
51,3,1256,Duck Soup (1933),0.0
51,4,90522,Johnny English Reborn (2011),0.0
51,5,42602,"Boys of Baraka, The (2005)",0.0
51,6,40962,"Yours, Mine and Ours (2005)",0.0
51,7,6001,"King of Comedy, The (1983)",0.0
51,8,5785,Jackass: The Movie (2002),0.0
51,9,6303,"Andromeda Strain, The (1971)",0.0
51,10,4190,Elmer Gantry (1960),0.0
52,1,1225,Amadeus (1984),0.0
52,2,407,In the Mouth of Madness (1995),0.0
52,3,3861,"Replacements, The (2000)",0.0
52,4,6803,Phenomena (a.k.a. Creepers) (1985),0.0
52,5,5742,First Monday in October (1981),0.0
52,6,2900,Monkey Shines (1988),0.0
52,7,6867,"Station Agent, The (2003)",0.0
52,8,26599,"Law of Desire (Ley del deseo, La) (1987)",0.0
52,9,4614,Kickboxer (1989),0.0
52,10,1958,Terms of Endearment (1983),0.0
53,1,42602,"Boys of Baraka, The (2005)",0.0
53,2,88932,Final Destination 5 (2011),0.0
53,3,4534,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988),0.0
53,4,3198,Papillon (1973),0.0
53,5,8232,I Love You Again (1940),0.0
53,6,8921,"Rose Tattoo, The (1955)",0.0
53,7,6100,"Midsummer Night's Sex Comedy, A (1982)",0.0
53,8,8368,Harry Potter and the Prisoner of Azkaban (2004),0.0
53,9,2557,I Stand Alone (Seul contre tous) (1998),0.0
53,10,4815,Hearts in Atlantis (2001),0.0
54,1,71468,Ink (2009),0.0
54,2,3211,"Cry in the Dark, A (1988)",0.0
54,3,7988,Space Truckers (1996),0.0
54,4,3531,All the Vermeers in New York (1990),0.0
54,5,5241,Seems Like Old Times (1980),0.0
54,6,4139,No Man's Land (1987),0.0
54,7,7980,"Bridge Too Far, A (1977)",0.0
54,8,102602,Mimino (1977),0.0
54,9,7371,Dogville (2003),0.0
54,10,92008,Haywire (2011),0.0
55,1,836,Chain Reaction (1996),0.0
55,2,26429,Love at First Bite (1979),0.0
55,3,4116,Hollywood Shuffle (1987),0.0
55,4,3680,"Decline of Western Civilization Part II: The Metal Years, The (1988)",0.0
55,5,71131,"Most Hated Family in America, The (2007)",0.0
55,6,7078,Jezebel (1938),0.0
55,7,2269,Indecent Proposal (1993),0.0
55,8,4410,Something Wild (1986),0.0
55,9,991,Michael Collins (1996),0.0
55,10,73858,"Dennis the Menace Christmas, A (2007)",0.0
56,1,160644,Indignation (2016),0.0
56,2,7584,Woman of the Year (1942),0.0
56,3,2067,Doctor Zhivago (1965),0.0
56,4,7360,Dawn of the Dead (2004),0.0
56,5,53996,Transformers (2007),0.0
56,6,3132,Daddy Long Legs (1919),0.0
56,7,32875,Holiday (Jour de fête) (1949),0.0
56,8,4909,"Incredible Shrinking Woman, The (1981)",0.0
56,9,1601,Hoodlum (1997),0.0
56,10,1029,Dumbo (1941),0.0
57,1,81257,In a Better World (Hævnen) (2010),0.0
